EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GX
1575664845.162683,337392.333,58681,3,GX,1,100,-0.458
1575664845.199876,337423.667,58681,3,GX,1,100,2.441
1575664845.237069,337455.000,58681,3,GX,1,100,0.366
1575664845.282176,337493.000,58698,3,GX,1,100,0.946
1575664845.327282,337531.000,58698,3,GX,1,100,1.648
1575664845.372389,337569.000,58698,3,GX,1,100,1.740
1575664845.412351,337602.667,58716,3,GX,1,100,2.960
1575664845.452314,337636.333,58716,3,GX,1,100,1.282
1575664845.492276,337670.000,58716,3,GX,1,100,1.007
1575664845.530261,337702.000,58732,3,GX,1,100,1.465
1575664845.568245,337734.000,58732,3,GX,1,100,1.465
1575664845.606230,337766.000,58732,3,GX,1,100,1.190
1575664845.650149,337803.000,58750,3,GX,1,100,3.113
1575664845.694068,337840.000,58750,3,GX,1,100,0.702
1575664845.737988,337877.000,58750,3,GX,1,100,0.061
1575664845.774785,337908.000,58769,3,GX,1,100,-0.671
1575664845.811582,337939.000,58769,3,GX,1,100,-0.305
1575664845.848380,337970.000,58769,3,GX,1,100,0.366
1575664845.893486,338008.000,58787,3,GX,1,100,-0.671
1575664845.938592,338046.000,58787,3,GX,1,100,-0.031
1575664845.983699,338084.000,58787,3,GX,1,100,-0.458
1575664846.024057,338118.000,58805,3,GX,1,100,0.763
1575664846.064415,338152.000,58805,3,GX,1,100,-0.122
1575664846.104774,338186.000,58805,3,GX,1,100,-0.763
1575664846.146319,338221.000,58823,3,GX,1,100,-1.221
1575664846.187865,338256.000,58823,3,GX,1,100,-0.854
1575664846.229410,338291.000,58823,3,GX,1,100,0.854
1575664846.268186,338323.667,58841,3,GX,1,100,-0.763
1575664846.306961,338356.333,58841,3,GX,1,100,-0.549
1575664846.345737,338389.000,58841,3,GX,1,100,-0.305
1575664846.386095,338423.000,58858,3,GX,1,100,-0.946
1575664846.426454,338457.000,58858,3,GX,1,100,0.122
1575664846.466812,338491.000,58858,3,GX,1,100,-0.397
1575664846.505192,338523.333,58876,3,GX,1,100,-0.061
1575664846.543572,338555.667,58876,3,GX,1,100,-0.214
1575664846.581952,338588.000,58876,3,GX,1,100,-1.343
1575664846.619936,338620.000,58894,3,GX,1,100,-0.061
1575664846.657921,338652.000,58894,3,GX,1,100,-0.092
1575664846.695905,338684.000,58894,3,GX,1,100,-1.434
1575664846.736659,338718.333,58911,3,GX,1,100,-0.549
1575664846.777413,338752.667,58911,3,GX,1,100,-1.556
1575664846.818167,338787.000,58911,3,GX,1,100,0.000
1575664846.863273,338825.000,58929,3,GX,1,100,-0.458
1575664846.908380,338863.000,58929,3,GX,1,100,-1.190
1575664846.953486,338901.000,58929,3,GX,1,100,0.305
1575664846.995031,338936.000,58947,3,GX,1,100,-1.801
1575664847.036577,338971.000,58947,3,GX,1,100,-0.031
1575664847.078122,339006.000,58947,3,GX,1,100,0.671
1575664847.114919,339037.000,58965,3,GX,1,100,-1.282
1575664847.151717,339068.000,58965,3,GX,1,100,0.793
1575664847.188514,339099.000,58965,3,GX,1,100,-0.488
1575664847.227290,339131.667,58983,3,GX,1,100,0.122
1575664847.266065,339164.333,58983,3,GX,1,100,0.092
1575664847.304841,339197.000,58983,3,GX,1,100,-0.641
1575664847.345199,339231.000,59001,3,GX,1,100,-0.122
1575664847.385558,339265.000,59001,3,GX,1,100,-0.732
1575664847.425916,339299.000,59001,3,GX,1,100,-0.061
1575664847.470627,339336.667,59019,3,GX,1,100,-0.305
1575664847.515337,339374.333,59019,3,GX,1,100,-0.183
1575664847.560048,339412.000,59019,3,GX,1,100,-1.495
1575664847.601594,339447.000,59036,2,GX,1,100,-0.031
1575664847.643139,339482.000,59036,2,GX,1,100,-0.580
1575664847.681420,339514.250,59055,4,GX,1,100,-0.641
1575664847.719701,339546.500,59055,4,GX,1,100,0.549
1575664847.757982,339578.750,59055,4,GX,1,100,-2.380
1575664847.796263,339611.000,59055,4,GX,1,100,-0.458
1575664847.834643,339643.333,59073,3,GX,1,100,0.488
